景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
盛世华彩博物馆Shengshi Huacai Museum,0,90.0,,,118.8842710856,31.7373085945,0,0.0
溧水鸡鸣寺Lishui Jiming Temple,0,0.0,,,119.119306,31.64361,0,0.0
江南贡院Jiangnan Gongyuan,0,86.0,,,118.79719,32.027406,3,0.0
江心洲鼋头石湿地风景区Yuantoushi Wet Land Scenic Area,0,80.0,大江风光,,118.6761199779,31.989960546,0,0.0
"南京六合恋山坝上草原Bashang Grassland, Lianshan Mountain, Liuhe, Nanjing",0,76.0,,,118.775572,32.470516,0,0.0
江宁大学城(皇家贝贝母婴店),0,0.0,,,118.9177893349,31.91533024,0,0.0
德基美术馆Deji Gallery,0,84.0,,,118.791008,32.051052,0,0.0
粉黛花海观光带Pink Flower Sea Tourist Belt,0,0.0,,,118.688179179,32.0158443459,0,0.0
南京大学(仙林校区)Nanjing University (xianlinxiaoqu),0,0.0,,,118.96493056,32.1254034948,0,0.0
zoonana萌宠科普乐园Zoonana Mengchong Kepu Amusement Park,0,90.0,,,118.789948,32.046822,2,0.0
南京市栖霞区不可移动文物解放街查氏民居,0,0.0,,,119.061206,32.175594,0,0.0
仙林湖公园Nanjing Xianlinhu Park,0,98.0,,,118.994399,32.132637,16,0.0
水木秦淮艺术街区ShuiMu QinHuai,0,88.0,,,118.7557830019,32.0704509227,5,0.0
牛头禅文化园Niutou Zen Cultural Park,0,80.0,四合院形式的院落,,118.748921,31.917236,1,0.0
弥勒圣境Maitreya Holy Land,0,90.0,,,118.966,32.1571,3,0.0
"佘村明清代建筑群Ming and Qing Buildings, Shecun Village",0,68.0,,,118.935493,31.987767,7,0.0
大泉湖Daquan Reservoir,0,100.0,,,118.6512929594,32.5454388999,1,0.0
天生桥Natural Bridge,0,100.0,,,118.991198,31.649199,3,0.0
将军山旅游风景区-会龙寺遗址Jiangjun Shan Lvyou Fengjingqu-Hui Long Temple Ruins,0,0.0,,,118.774,31.926,0,0.0
江南贡院-历史陈列馆Jiangnan Gongyuan-Lishi Exhibition Hall,0,90.0,,,118.796939,32.02805,51,0.0
秦淮八艳史料陈列馆Qinhuaiba Yanshiliao Exhibition Hall,0,0.0,,,118.795,32.0249,0,0.0
采莲园,0,0.0,,,118.836,31.957,0,0.0
非物质文化遗产展示馆Intangible Cultural Heritage Exhibition Hall,0,0.0,,,118.794,32.0174,0,0.0
南京市下关名士埂基督教会Nanjingshi Xiaguan Mingshigeng Christ Church,0,80.0,,,118.749,32.1051,0,0.0
南京首批国家级非物质文化遗产展,0,0.0,,,118.794812,32.027482,0,0.0
丁家宜植物纯粹专营店,0,0.0,,,118.9259770003,31.9051020291,0,0.0
诗奈尔,0,0.0,,,118.888285813,31.9332810792,0,0.0
中国建设银行atm,0,0.0,,,118.9199279943,31.9179037982,0,0.0
方山风景区停车场,0,0.0,,,118.8772377682,31.9172956595,0,0.0
紫金2号软通楼,0,0.0,,,118.91513816,31.9050698069,0,0.0
陶苑,0,0.0,,,118.903894827,31.8916933857,0,0.0
交通银行,0,0.0,,,118.8875991966,31.9318085145,1,0.0
中央体育场Central Stadium,0,96.0,,,118.874636,32.049164,20,0.0
月牙池Crescent Pool,0,86.0,,,118.9697523131,32.1606025696,8,0.0
南京特殊教育职业技术学院Nanjing Teshujiaoyu Vocational Technology College,0,96.0,,,118.8369653275,32.1332206726,10,0.0
南京明文化村(阳山碑材)Nanjing Ming Cultural Village (Yangshan Monument Material),0,76.0,,,119.008421,32.068445,15,0.0
南京旅游职业学院Nanjing Institute of Tourism & Hospitality,0,86.0,,,118.89785,31.934879,6,0.0
幕府山风景区Mufushan Scenic Area,0,86.0,,,118.797276,32.132172,24,0.0
天开一线,0,92.0,,,118.9711037486,32.1609458923,9,0.0
林公堤民国街Lingongdiminguo Street,0,86.0,,319.0,118.634858,32.059841,14,0.0
竹镇民族商业街Zhuzhenminzu Commercial Street,0,100.0,,328.0,118.6884225844,32.519869285,0,0.0
长江路Changjiang Road,0,94.0,,377.0,118.799824,32.049838,82,0.0
东庐山观音寺Guanyin Temple,0,96.0,,394.0,119.1287086503,31.6471902352,7,0.0
中国梅花艺术中心China Plum Blossom Art Center,0,96.0,,412.0,118.843316,32.052198,8,0.0
气象博物馆China Beijige Weather Museum,0,90.0,,502.0,118.7966029144,32.0667529694,26,0.0
头陀岭景区Toutuoling Scenic Area,1,88.0,,508.0,118.849105,32.076756,24,0.0
戴笠楼Daili Building,0,78.0,,3.0,119.0655452725,32.063621521,12,0.0
狮子桥美食街Lion Bridge Food Street,6,88.0,在美食街上可以吃到地道的南京美食，鸭血粉丝、鸡汁汤包、盐水鸭、什锦豆腐涝等等。,35.0,118.784103,32.074755,575,0.0
雨花台游乐园Yuhuatai Playground,0,88.0,,97.0,118.7835817509,32.0071473901,28,0.0
总统府办公楼Office Building of Presidential Palace,2,76.0,中国政治军事的中枢、重大事件的策源地。,680.0,118.804402,32.051357,3,0.0
流徽榭Liu Hui Pavilion,1,88.0,,690.0,118.865851,32.059069,66,0.0
老门东牌坊Old Gate East Archway,1,80.0,南京夫子庙秦淮风光带的主要组成部分，历史上商业及居住最发达地区之一。,112.0,118.794383,32.019039,1,0.0
红山门,1,0.0,红山门，是南京市灵谷公园的大门，因外墙为红色，所以也叫红山门。,724.0,118.872911,32.058089,2,0.0
